Quantity	Comment	Designator	Footprint	Value	Device	Manufacturer Part
2	100nF	C12,C17	C0603	100nF	C1206N104J101T	C1206N104J101T
1	10uF	C19	C0603	10uF	CL10A106MA8NRNC	CL10A106MA8NRNC
3	B-2100S02P-A110	H6,H7,H8	CONN-TH_2P-P2.00_L5.1-W6.0		HDR-M_2.54_1x2P	B-2100S02P-A110
4	100ohm	R25,R27,R29,R31	R0603_NEW	100ohm	Res_0603	
4	10K	R26,R28,R30,R32	R0603_NEW	10K	Res_0603	
1	JS202011SCQN	SW2	SW-SMD_JS202011SCQN		JS202011SCQN	JS202011SCQN
1	Key_SMD_6x6x6.5	SW4	SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4-TS-076S-015180-P		Key_SMD_6x6x6.5	
1	ESP32C3-SuperMini	U1	COMM-SMD_16P-L22.5-W18.0-P2.54-TL		ESP32C3-SuperMini	ESP32C3-SuperMini
4	QRE1113GR	U2,U4,U5,U6	OPTO-SMD_QRE1113GR		QRE1113GR	QRE1113GR
1	DRV8833PWPR-HX	U3	ETSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP2.8-1		DRV8833PWPR-HX	DRV8833PWPR-HX
1	SSD1306_128x64	U7	SSD1306 I2C 3D		SSD1306_128x64	
